condition,date,expNumber,trace,negative_idx,positive_idx,negative_time_ms,positive_time_ms,negative_position_deg,positive_position_deg,negative_magnitude_deg,positive_magnitude_deg,negative_to_positive_change_deg,final_idx,final_time_ms,final_position_deg,final_distance_from_baseline_deg
antennae glued – quiescence,2025_02_13,2,13,20,40,200,400,-19.087500000000002,10.364583333333334,19.087500000000002,10.364583333333334,29.452083333333334,57,570,8.522916666666667,8.522916666666667
antennae glued – quiescence,2025_02_13,3,14,21,32,210,320,-13.00217391304348,2.66304347826087,13.00217391304348,2.66304347826087,15.665217391304349,57,570,1.0608695652173912,1.0608695652173912
antennae glued – quiescence,2025_02_14,1,15,24,40,240,400,-17.45,12.549999999999999,17.45,12.549999999999999,30.0,57,570,7.65,7.65
antennae glued – quiescence,2025_02_14,3,16,21,55,210,550,-15.533333333333335,8.633333333333333,15.533333333333335,8.633333333333333,24.166666666666668,57,570,8.399999999999999,8.399999999999999
antennae glued – flight,2025_01_13,1,0,22,37,220,370,-8.465625,0.23437499999999967,8.465625,0.23437499999999967,8.7,57,570,-0.1812499999999998,0.1812499999999998
antennae glued – flight,2025_01_13,2,1,22,35,220,350,-6.466666666666667,1.5999999999999992,6.466666666666667,1.5999999999999992,8.066666666666666,57,570,-0.5888888888888895,0.5888888888888895
antennae glued – flight,2025_01_13,3,2,22,38,220,380,-6.845652173913045,-0.43260869565217375,6.845652173913045,-0.43260869565217375,6.413043478260871,57,570,-0.6717391304347828,0.6717391304347828
antennae glued – flight,2025_01_13,4,3,22,54,220,540,-18.326470588235292,11.235294117647058,18.326470588235292,11.235294117647058,29.56176470588235,57,570,11.205882352941174,11.205882352941174
antennae glued – flight,2025_01_28,1,4,22,36,220,360,-16.975454545454546,7.151818181818182,16.975454545454546,7.151818181818182,24.12727272727273,57,570,4.6072727272727265,4.6072727272727265
antennae glued – flight,2025_01_29,1,5,22,32,220,320,-10.670588235294119,2.458823529411765,10.670588235294119,2.458823529411765,13.129411764705884,57,570,1.0588235294117647,1.0588235294117647
antennae glued – flight,2025_01_31,1,6,22,53,220,530,-19.729166666666668,9.591666666666669,19.729166666666668,9.591666666666669,29.320833333333336,57,570,8.766666666666667,8.766666666666667
antennae glued – flight,2025_01_31,2,7,21,38,210,380,-20.9375,4.496875,20.9375,4.496875,25.434375,57,570,3.59375,3.59375
antennae glued – flight,2025_01_31,3,8,21,56,210,560,-17.84888888888889,10.105555555555556,17.84888888888889,10.105555555555556,27.954444444444448,57,570,10.09888888888889,10.09888888888889
antennae glued – flight,2025_01_31,4,9,22,54,220,540,-14.235714285714286,10.414285714285715,14.235714285714286,10.414285714285715,24.65,57,570,10.064285714285717,10.064285714285717
antennae glued – flight,2025_02_04,1,10,18,35,180,350,-17.29,8.73,17.29,8.73,26.02,57,570,5.539999999999999,5.539999999999999
antennae glued – flight,2025_02_04,2,11,18,28,180,280,-13.850000000000001,2.249999999999999,13.850000000000001,2.249999999999999,16.1,57,570,-0.1750000000000007,0.1750000000000007
antennae glued – flight,2025_02_13,1,12,18,54,180,540,-17.75,11.625000000000002,17.75,11.625000000000002,29.375,57,570,11.15,11.15
antennae glued – flight,2025_02_13,2,13,21,34,210,340,-17.807500000000008,7.232499999999999,17.807500000000008,7.232499999999999,25.040000000000006,57,570,4.945,4.945
antennae glued – flight,2025_02_13,3,14,22,30,220,300,-13.503846153846155,6.338461538461537,13.503846153846155,6.338461538461537,19.842307692307692,57,570,2.3423076923076924,2.3423076923076924
antennae glued – flight,2025_02_14,1,15,22,47,220,470,-19.317647058823525,13.752941176470587,19.317647058823525,13.752941176470587,33.07058823529411,57,570,13.15294117647059,13.15294117647059
antennae glued – flight,2025_02_14,3,16,21,53,210,530,-17.758333333333336,14.027777777777779,17.758333333333336,14.027777777777779,31.786111111111115,57,570,14.0,14.0
